Timestamp,Algorithm,Scenario,Success,PathLength,OptimalityCoefficient,PathDeviation(%),Smoothness,TotalTurnAngle,NodesExpanded,SearchEfficiency,BranchingFactor,MinObstacleDistance,AvgObstacleDistance,MaxCurvature,ExecutionTime(ms)
2025-11-20 13:25:44,AStar,open_space,true,125.8650,1.0000,-0.00,276.4602,276.4602,89,1.4142,1.0511,0.0000,0.0000,0.0000,0.08
2025-11-20 13:25:44,AStarPS,open_space,true,125.8650,1.0000,0.00,0.0000,0.0000,89,1.4142,9.4340,0.0000,0.0000,0.0000,0.09
2025-11-20 13:25:44,ThetaStar,open_space,true,125.8650,1.0000,-0.00,276.4602,276.4602,89,1.4142,1.0511,0.0000,0.0000,0.0000,0.32
2025-11-20 13:25:44,AStar,open_space,true,125.8650,1.0000,-0.00,276.4602,276.4602,89,1.4142,1.0511,0.0000,0.0000,0.0000,0.07
2025-11-20 13:25:44,AStarPS,open_space,true,125.8650,1.0000,0.00,0.0000,0.0000,89,1.4142,9.4340,0.0000,0.0000,0.0000,0.09
2025-11-20 13:25:44,ThetaStar,open_space,true,125.8650,1.0000,-0.00,276.4602,276.4602,89,1.4142,1.0511,0.0000,0.0000,0.0000,0.31
2025-11-20 13:25:44,AStar,open_space,true,125.8650,1.0000,-0.00,276.4602,276.4602,89,1.4142,1.0511,0.0000,0.0000,0.0000,0.06
2025-11-20 13:25:44,AStarPS,open_space,true,125.8650,1.0000,0.00,0.0000,0.0000,89,1.4142,9.4340,0.0000,0.0000,0.0000,0.08
2025-11-20 13:25:44,ThetaStar,open_space,true,125.8650,1.0000,-0.00,276.4602,276.4602,89,1.4142,1.0511,0.0000,0.0000,0.0000,0.30
2025-11-20 13:25:44,AStar,open_space,true,125.8650,1.0000,-0.00,276.4602,276.4602,89,1.4142,1.0511,0.0000,0.0000,0.0000,0.05
2025-11-20 13:25:44,AStarPS,open_space,true,125.8650,1.0000,0.00,0.0000,0.0000,89,1.4142,9.4340,0.0000,0.0000,0.0000,0.08
2025-11-20 13:25:44,ThetaStar,open_space,true,125.8650,1.0000,-0.00,276.4602,276.4602,89,1.4142,1.0511,0.0000,0.0000,0.0000,0.30
2025-11-20 13:25:44,AStar,open_space,true,125.8650,1.0000,-0.00,276.4602,276.4602,89,1.4142,1.0511,0.0000,0.0000,0.0000,0.06
2025-11-20 13:25:44,AStarPS,open_space,true,125.8650,1.0000,0.00,0.0000,0.0000,89,1.4142,9.4340,0.0000,0.0000,0.0000,0.08
2025-11-20 13:25:44,ThetaStar,open_space,true,125.8650,1.0000,-0.00,276.4602,276.4602,89,1.4142,1.0511,0.0000,0.0000,0.0000,0.30
2025-11-20 13:25:44,AStar,open_space,true,125.8650,1.0000,-0.00,276.4602,276.4602,89,1.4142,1.0511,0.0000,0.0000,0.0000,0.05
2025-11-20 13:25:44,AStarPS,open_space,true,125.8650,1.0000,0.00,0.0000,0.0000,89,1.4142,9.4340,0.0000,0.0000,0.0000,0.08
2025-11-20 13:25:44,ThetaStar,open_space,true,125.8650,1.0000,-0.00,276.4602,276.4602,89,1.4142,1.0511,0.0000,0.0000,0.0000,0.30
2025-11-20 13:25:44,AStar,open_space,true,125.8650,1.0000,-0.00,276.4602,276.4602,89,1.4142,1.0511,0.0000,0.0000,0.0000,0.05
2025-11-20 13:25:44,AStarPS,open_space,true,125.8650,1.0000,0.00,0.0000,0.0000,89,1.4142,9.4340,0.0000,0.0000,0.0000,0.08
2025-11-20 13:25:44,ThetaStar,open_space,true,125.8650,1.0000,-0.00,276.4602,276.4602,89,1.4142,1.0511,0.0000,0.0000,0.0000,0.30
2025-11-20 13:25:44,AStar,open_space,true,125.8650,1.0000,-0.00,276.4602,276.4602,89,1.4142,1.0511,0.0000,0.0000,0.0000,0.05
2025-11-20 13:25:44,AStarPS,open_space,true,125.8650,1.0000,0.00,0.0000,0.0000,89,1.4142,9.4340,0.0000,0.0000,0.0000,0.08
2025-11-20 13:25:44,ThetaStar,open_space,true,125.8650,1.0000,-0.00,276.4602,276.4602,89,1.4142,1.0511,0.0000,0.0000,0.0000,0.32
2025-11-20 13:25:44,AStar,open_space,true,125.8650,1.0000,-0.00,276.4602,276.4602,89,1.4142,1.0511,0.0000,0.0000,0.0000,0.07
2025-11-20 13:25:44,AStarPS,open_space,true,125.8650,1.0000,0.00,0.0000,0.0000,89,1.4142,9.4340,0.0000,0.0000,0.0000,0.09
2025-11-20 13:25:44,ThetaStar,open_space,true,125.8650,1.0000,-0.00,276.4602,276.4602,89,1.4142,1.0511,0.0000,0.0000,0.0000,0.31
2025-11-20 13:25:44,AStar,open_space,true,125.8650,1.0000,-0.00,276.4602,276.4602,89,1.4142,1.0511,0.0000,0.0000,0.0000,0.06
2025-11-20 13:25:44,AStarPS,open_space,true,125.8650,1.0000,0.00,0.0000,0.0000,89,1.4142,9.4340,0.0000,0.0000,0.0000,0.08
2025-11-20 13:25:44,ThetaStar,open_space,true,125.8650,1.0000,-0.00,276.4602,276.4602,89,1.4142,1.0511,0.0000,0.0000,0.0000,0.36
2025-11-20 13:25:44,AStar,maze,true,1393.6753,10.1596,915.96,3148.6612,3148.6612,4388,0.0313,1.0072,1.0000,1.0000,1.0000,1.48
2025-11-20 13:25:44,AStarPS,maze,true,1393.6753,10.1596,915.96,1785.2100,1785.2100,4388,0.0313,1.0114,1.0000,1.0000,1.0000,1.49
2025-11-20 13:25:44,ThetaStar,maze,true,1393.6753,10.1596,915.96,3129.8117,3129.8117,4357,0.0315,1.0072,1.0000,1.0000,1.0000,5.00
2025-11-20 13:25:44,AStar,maze,true,1393.6753,10.1596,915.96,3148.6612,3148.6612,4388,0.0313,1.0072,1.0000,1.0000,1.0000,1.38
2025-11-20 13:25:44,AStarPS,maze,true,1393.6753,10.1596,915.96,1785.2100,1785.2100,4388,0.0313,1.0114,1.0000,1.0000,1.0000,1.34
2025-11-20 13:25:44,ThetaStar,maze,true,1393.6753,10.1596,915.96,3129.8117,3129.8117,4357,0.0315,1.0072,1.0000,1.0000,1.0000,4.90
2025-11-20 13:25:44,AStar,maze,true,1393.6753,10.1596,915.96,3148.6612,3148.6612,4388,0.0313,1.0072,1.0000,1.0000,1.0000,1.36
2025-11-20 13:25:44,AStarPS,maze,true,1393.6753,10.1596,915.96,1785.2100,1785.2100,4388,0.0313,1.0114,1.0000,1.0000,1.0000,1.38
2025-11-20 13:25:44,ThetaStar,maze,true,1393.6753,10.1596,915.96,3129.8117,3129.8117,4357,0.0315,1.0072,1.0000,1.0000,1.0000,4.75
2025-11-20 13:25:44,AStar,maze,true,1393.6753,10.1596,915.96,3148.6612,3148.6612,4388,0.0313,1.0072,1.0000,1.0000,1.0000,1.35
2025-11-20 13:25:44,AStarPS,maze,true,1393.6753,10.1596,915.96,1785.2100,1785.2100,4388,0.0313,1.0114,1.0000,1.0000,1.0000,1.47
2025-11-20 13:25:44,ThetaStar,maze,true,1393.6753,10.1596,915.96,3129.8117,3129.8117,4357,0.0315,1.0072,1.0000,1.0000,1.0000,5.06
2025-11-20 13:25:44,AStar,maze,true,1393.6753,10.1596,915.96,3148.6612,3148.6612,4388,0.0313,1.0072,1.0000,1.0000,1.0000,1.34
2025-11-20 13:25:44,AStarPS,maze,true,1393.6753,10.1596,915.96,1785.2100,1785.2100,4388,0.0313,1.0114,1.0000,1.0000,1.0000,1.33
2025-11-20 13:25:44,ThetaStar,maze,true,1393.6753,10.1596,915.96,3129.8117,3129.8117,4357,0.0315,1.0072,1.0000,1.0000,1.0000,4.74
2025-11-20 13:25:44,AStar,maze,true,1393.6753,10.1596,915.96,3148.6612,3148.6612,4388,0.0313,1.0072,1.0000,1.0000,1.0000,1.33
2025-11-20 13:25:44,AStarPS,maze,true,1393.6753,10.1596,915.96,1785.2100,1785.2100,4388,0.0313,1.0114,1.0000,1.0000,1.0000,1.37
2025-11-20 13:25:44,ThetaStar,maze,true,1393.6753,10.1596,915.96,3129.8117,3129.8117,4357,0.0315,1.0072,1.0000,1.0000,1.0000,4.76
2025-11-20 13:25:44,AStar,maze,true,1393.6753,10.1596,915.96,3148.6612,3148.6612,4388,0.0313,1.0072,1.0000,1.0000,1.0000,1.31
2025-11-20 13:25:44,AStarPS,maze,true,1393.6753,10.1596,915.96,1785.2100,1785.2100,4388,0.0313,1.0114,1.0000,1.0000,1.0000,1.32
2025-11-20 13:25:44,ThetaStar,maze,true,1393.6753,10.1596,915.96,3129.8117,3129.8117,4357,0.0315,1.0072,1.0000,1.0000,1.0000,4.72
2025-11-20 13:25:44,AStar,maze,true,1393.6753,10.1596,915.96,3148.6612,3148.6612,4388,0.0313,1.0072,1.0000,1.0000,1.0000,1.34
2025-11-20 13:25:44,AStarPS,maze,true,1393.6753,10.1596,915.96,1785.2100,1785.2100,4388,0.0313,1.0114,1.0000,1.0000,1.0000,1.36
2025-11-20 13:25:44,ThetaStar,maze,true,1393.6753,10.1596,915.96,3129.8117,3129.8117,4357,0.0315,1.0072,1.0000,1.0000,1.0000,5.33
2025-11-20 13:25:44,AStar,maze,true,1393.6753,10.1596,915.96,3148.6612,3148.6612,4388,0.0313,1.0072,1.0000,1.0000,1.0000,1.36
2025-11-20 13:25:44,AStarPS,maze,true,1393.6753,10.1596,915.96,1785.2100,1785.2100,4388,0.0313,1.0114,1.0000,1.0000,1.0000,1.41
2025-11-20 13:25:44,ThetaStar,maze,true,1393.6753,10.1596,915.96,3129.8117,3129.8117,4357,0.0315,1.0072,1.0000,1.0000,1.0000,4.42
2025-11-20 13:25:44,AStar,maze,true,1393.6753,10.1596,915.96,3148.6612,3148.6612,4388,0.0313,1.0072,1.0000,1.0000,1.0000,1.34
2025-11-20 13:25:44,AStarPS,maze,true,1393.6753,10.1596,915.96,1785.2100,1785.2100,4388,0.0313,1.0114,1.0000,1.0000,1.0000,1.42
2025-11-20 13:25:44,ThetaStar,maze,true,1393.6753,10.1596,915.96,3129.8117,3129.8117,4357,0.0315,1.0072,1.0000,1.0000,1.0000,4.49
2025-11-20 13:25:44,AStar,obstacles,true,142.5513,1.0610,6.10,307.8761,307.8761,3050,0.0440,1.0757,1.0000,1.0874,0.7071,1.26
2025-11-20 13:25:44,AStarPS,obstacles,true,139.5678,1.0388,3.88,169.8985,169.8985,3050,0.0440,1.1406,1.0000,1.0068,0.7071,1.24
2025-11-20 13:25:44,ThetaStar,obstacles,true,149.3319,1.1115,11.15,233.1790,233.1790,261,0.5148,1.0653,1.0000,1.0349,1.0000,0.41
2025-11-20 13:25:44,AStar,obstacles,true,142.5513,1.0610,6.10,307.8761,307.8761,3050,0.0440,1.0757,1.0000,1.0874,0.7071,1.17
2025-11-20 13:25:44,AStarPS,obstacles,true,139.5678,1.0388,3.88,169.8985,169.8985,3050,0.0440,1.1406,1.0000,1.0068,0.7071,1.16
2025-11-20 13:25:44,ThetaStar,obstacles,true,149.3319,1.1115,11.15,233.1790,233.1790,261,0.5148,1.0653,1.0000,1.0349,1.0000,0.45
2025-11-20 13:25:44,AStar,obstacles,true,142.5513,1.0610,6.10,307.8761,307.8761,3050,0.0440,1.0757,1.0000,1.0874,0.7071,1.22
2025-11-20 13:25:44,AStarPS,obstacles,true,139.5678,1.0388,3.88,169.8985,169.8985,3050,0.0440,1.1406,1.0000,1.0068,0.7071,1.17
2025-11-20 13:25:44,ThetaStar,obstacles,true,149.3319,1.1115,11.15,233.1790,233.1790,261,0.5148,1.0653,1.0000,1.0349,1.0000,0.40
2025-11-20 13:25:44,AStar,obstacles,true,142.5513,1.0610,6.10,307.8761,307.8761,3050,0.0440,1.0757,1.0000,1.0874,0.7071,1.20
2025-11-20 13:25:44,AStarPS,obstacles,true,139.5678,1.0388,3.88,169.8985,169.8985,3050,0.0440,1.1406,1.0000,1.0068,0.7071,1.22
2025-11-20 13:25:44,ThetaStar,obstacles,true,149.3319,1.1115,11.15,233.1790,233.1790,261,0.5148,1.0653,1.0000,1.0349,1.0000,0.38
2025-11-20 13:25:44,AStar,obstacles,true,142.5513,1.0610,6.10,307.8761,307.8761,3050,0.0440,1.0757,1.0000,1.0874,0.7071,1.20
2025-11-20 13:25:44,AStarPS,obstacles,true,139.5678,1.0388,3.88,169.8985,169.8985,3050,0.0440,1.1406,1.0000,1.0068,0.7071,1.20
2025-11-20 13:25:44,ThetaStar,obstacles,true,149.3319,1.1115,11.15,233.1790,233.1790,261,0.5148,1.0653,1.0000,1.0349,1.0000,0.38
2025-11-20 13:25:44,AStar,obstacles,true,142.5513,1.0610,6.10,307.8761,307.8761,3050,0.0440,1.0757,1.0000,1.0874,0.7071,1.17
2025-11-20 13:25:44,AStarPS,obstacles,true,139.5678,1.0388,3.88,169.8985,169.8985,3050,0.0440,1.1406,1.0000,1.0068,0.7071,1.18
2025-11-20 13:25:44,ThetaStar,obstacles,true,149.3319,1.1115,11.15,233.1790,233.1790,261,0.5148,1.0653,1.0000,1.0349,1.0000,0.38
2025-11-20 13:25:44,AStar,obstacles,true,142.5513,1.0610,6.10,307.8761,307.8761,3050,0.0440,1.0757,1.0000,1.0874,0.7071,1.21
2025-11-20 13:25:44,AStarPS,obstacles,true,139.5678,1.0388,3.88,169.8985,169.8985,3050,0.0440,1.1406,1.0000,1.0068,0.7071,1.19
2025-11-20 13:25:44,ThetaStar,obstacles,true,149.3319,1.1115,11.15,233.1790,233.1790,261,0.5148,1.0653,1.0000,1.0349,1.0000,0.38
2025-11-20 13:25:44,AStar,obstacles,true,142.5513,1.0610,6.10,307.8761,307.8761,3050,0.0440,1.0757,1.0000,1.0874,0.7071,1.19
2025-11-20 13:25:44,AStarPS,obstacles,true,139.5678,1.0388,3.88,169.8985,169.8985,3050,0.0440,1.1406,1.0000,1.0068,0.7071,1.18
2025-11-20 13:25:44,ThetaStar,obstacles,true,149.3319,1.1115,11.15,233.1790,233.1790,261,0.5148,1.0653,1.0000,1.0349,1.0000,0.38
2025-11-20 13:25:44,AStar,obstacles,true,142.5513,1.0610,6.10,307.8761,307.8761,3050,0.0440,1.0757,1.0000,1.0874,0.7071,1.19
2025-11-20 13:25:44,AStarPS,obstacles,true,139.5678,1.0388,3.88,169.8985,169.8985,3050,0.0440,1.1406,1.0000,1.0068,0.7071,1.17
2025-11-20 13:25:44,ThetaStar,obstacles,true,149.3319,1.1115,11.15,233.1790,233.1790,261,0.5148,1.0653,1.0000,1.0349,1.0000,0.38
2025-11-20 13:25:44,AStar,obstacles,true,142.5513,1.0610,6.10,307.8761,307.8761,3050,0.0440,1.0757,1.0000,1.0874,0.7071,1.20
2025-11-20 13:25:44,AStarPS,obstacles,true,139.5678,1.0388,3.88,169.8985,169.8985,3050,0.0440,1.1406,1.0000,1.0068,0.7071,1.21
2025-11-20 13:25:44,ThetaStar,obstacles,true,149.3319,1.1115,11.15,233.1790,233.1790,261,0.5148,1.0653,1.0000,1.0349,1.0000,0.38
2025-11-20 13:25:44,AStar,narrow_corridors,true,97.0000,1.0000,0.00,301.5929,301.5929,97,1.0000,1.0478,4.0000,4.0495,0.0000,0.05
2025-11-20 13:25:44,AStarPS,narrow_corridors,true,97.0000,1.0000,0.00,0.0000,0.0000,97,1.0000,9.8489,4.0000,4.0000,0.0000,0.06
2025-11-20 13:25:44,ThetaStar,narrow_corridors,true,97.0000,1.0000,0.00,301.5929,301.5929,97,1.0000,1.0478,4.0000,4.0495,0.0000,0.32
2025-11-20 13:25:44,AStar,narrow_corridors,true,97.0000,1.0000,0.00,301.5929,301.5929,97,1.0000,1.0478,4.0000,4.0495,0.0000,0.04
2025-11-20 13:25:44,AStarPS,narrow_corridors,true,97.0000,1.0000,0.00,0.0000,0.0000,97,1.0000,9.8489,4.0000,4.0000,0.0000,0.05
2025-11-20 13:25:44,ThetaStar,narrow_corridors,true,97.0000,1.0000,0.00,301.5929,301.5929,97,1.0000,1.0478,4.0000,4.0495,0.0000,0.31
2025-11-20 13:25:44,AStar,narrow_corridors,true,97.0000,1.0000,0.00,301.5929,301.5929,97,1.0000,1.0478,4.0000,4.0495,0.0000,0.04
2025-11-20 13:25:44,AStarPS,narrow_corridors,true,97.0000,1.0000,0.00,0.0000,0.0000,97,1.0000,9.8489,4.0000,4.0000,0.0000,0.05
2025-11-20 13:25:44,ThetaStar,narrow_corridors,true,97.0000,1.0000,0.00,301.5929,301.5929,97,1.0000,1.0478,4.0000,4.0495,0.0000,0.30
2025-11-20 13:25:44,AStar,narrow_corridors,true,97.0000,1.0000,0.00,301.5929,301.5929,97,1.0000,1.0478,4.0000,4.0495,0.0000,0.04
2025-11-20 13:25:44,AStarPS,narrow_corridors,true,97.0000,1.0000,0.00,0.0000,0.0000,97,1.0000,9.8489,4.0000,4.0000,0.0000,0.06
2025-11-20 13:25:44,ThetaStar,narrow_corridors,true,97.0000,1.0000,0.00,301.5929,301.5929,97,1.0000,1.0478,4.0000,4.0495,0.0000,0.39
2025-11-20 13:25:44,AStar,narrow_corridors,true,97.0000,1.0000,0.00,301.5929,301.5929,97,1.0000,1.0478,4.0000,4.0495,0.0000,0.04
2025-11-20 13:25:44,AStarPS,narrow_corridors,true,97.0000,1.0000,0.00,0.0000,0.0000,97,1.0000,9.8489,4.0000,4.0000,0.0000,0.05
2025-11-20 13:25:44,ThetaStar,narrow_corridors,true,97.0000,1.0000,0.00,301.5929,301.5929,97,1.0000,1.0478,4.0000,4.0495,0.0000,0.31
2025-11-20 13:25:44,AStar,narrow_corridors,true,97.0000,1.0000,0.00,301.5929,301.5929,97,1.0000,1.0478,4.0000,4.0495,0.0000,0.04
2025-11-20 13:25:44,AStarPS,narrow_corridors,true,97.0000,1.0000,0.00,0.0000,0.0000,97,1.0000,9.8489,4.0000,4.0000,0.0000,0.05
2025-11-20 13:25:44,ThetaStar,narrow_corridors,true,97.0000,1.0000,0.00,301.5929,301.5929,97,1.0000,1.0478,4.0000,4.0495,0.0000,0.42
2025-11-20 13:25:44,AStar,narrow_corridors,true,97.0000,1.0000,0.00,301.5929,301.5929,97,1.0000,1.0478,4.0000,4.0495,0.0000,0.05
2025-11-20 13:25:44,AStarPS,narrow_corridors,true,97.0000,1.0000,0.00,0.0000,0.0000,97,1.0000,9.8489,4.0000,4.0000,0.0000,0.06
2025-11-20 13:25:44,ThetaStar,narrow_corridors,true,97.0000,1.0000,0.00,301.5929,301.5929,97,1.0000,1.0478,4.0000,4.0495,0.0000,0.33
2025-11-20 13:25:44,AStar,narrow_corridors,true,97.0000,1.0000,0.00,301.5929,301.5929,97,1.0000,1.0478,4.0000,4.0495,0.0000,0.05
2025-11-20 13:25:44,AStarPS,narrow_corridors,true,97.0000,1.0000,0.00,0.0000,0.0000,97,1.0000,9.8489,4.0000,4.0000,0.0000,0.06
2025-11-20 13:25:44,ThetaStar,narrow_corridors,true,97.0000,1.0000,0.00,301.5929,301.5929,97,1.0000,1.0478,4.0000,4.0495,0.0000,0.32
2025-11-20 13:25:44,AStar,narrow_corridors,true,97.0000,1.0000,0.00,301.5929,301.5929,97,1.0000,1.0478,4.0000,4.0495,0.0000,0.04
2025-11-20 13:25:44,AStarPS,narrow_corridors,true,97.0000,1.0000,0.00,0.0000,0.0000,97,1.0000,9.8489,4.0000,4.0000,0.0000,0.06
2025-11-20 13:25:44,ThetaStar,narrow_corridors,true,97.0000,1.0000,0.00,301.5929,301.5929,97,1.0000,1.0478,4.0000,4.0495,0.0000,0.31
2025-11-20 13:25:44,AStar,narrow_corridors,true,97.0000,1.0000,0.00,301.5929,301.5929,97,1.0000,1.0478,4.0000,4.0495,0.0000,0.04
2025-11-20 13:25:44,AStarPS,narrow_corridors,true,97.0000,1.0000,0.00,0.0000,0.0000,97,1.0000,9.8489,4.0000,4.0000,0.0000,0.05
2025-11-20 13:25:44,ThetaStar,narrow_corridors,true,97.0000,1.0000,0.00,301.5929,301.5929,97,1.0000,1.0478,4.0000,4.0495,0.0000,0.44
